Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Buthiers,77760,Seine_et_Marne,48.2877467,2.4303263,74.8,4 hours 1 min,241,nan,,86.2,,1 hour 0 mins,60,86.2,2 hours 22 mins,142,86.2,0.6960556844547564,,
Cannes-Écluse,77130,Seine_et_Marne,48.3652327,2.9843492,80.9,4 hours 24 mins,264,nan,,95.8,,59 mins,59,95.8,2 hours 22 mins,142,95.8,0.6158663883089771,,
Carnetin,77400,Seine_et_Marne,48.8992492,2.7062637,35.3,1 hour 57 mins,117,nan,,40.0,,31 mins,31,40.0,1 hour 44 mins,104,40.0,0.775,,
Cély,77930,Seine_et_Marne,48.4604471,2.5289144,53.6,2 hours 54 mins,174,nan,,55.7,,38 mins,38,55.7,2 hours 6 mins,126,55.7,0.6822262118491921,,
Cerneux,77320,Seine_et_Marne,48.6937201,3.344756,89.8,4 hours 45 mins,285,nan,,88.2,,58 mins,58,88.2,2 hours 12 mins,132,88.2,0.6575963718820862,,
Cesson,77240,Seine_et_Marne,48.5623325,2.6009235,46.2,2 hours 38 mins,158,57 mins,57,59.3,0.9612141652613828,44 mins,44,59.3,2 hours 12 mins,132,59.3,0.7419898819561552,13.0,-75.0
Cessoy-en-Montois,77520,Seine_et_Marne,48.5045869,3.1479615,79.2,4 hours 13 mins,253,nan,,92.2,,1 hour 3 mins,63,92.2,2 hours 14 mins,134,92.2,0.6832971800433839,,
Chailly-en-Bière,77930,Seine_et_Marne,48.4669113,2.6069123,54.8,2 hours 55 mins,175,nan,,60.8,,42 mins,42,60.8,2 hours 10 mins,130,60.8,0.6907894736842105,,
Chailly-en-Brie,77120,Seine_et_Marne,48.7895337,3.1241361,69.0,3 hours 45 mins,225,1 hour 46 mins,106,69.2,1.5317919075144508,50 mins,50,69.2,2 hours 11 mins,131,69.2,0.722543352601156,56.0,-25.0
Chaintreaux,77460,Seine_et_Marne,48.1993842,2.8202565,94.0,5 hours 0 mins,300,nan,,100,,1 hour 3 mins,63,100,2 hours 24 mins,144,100,0.63,,
Chalautre-la-Grande,77171,Seine_et_Marne,48.5417439,3.4594097,102,5 hours 24 mins,324,nan,,106,,1 hour 14 mins,74,106,2 hours 23 mins,143,106,0.6981132075471698,,
Chalautre-la-Petite,77160,Seine_et_Marne,48.5292048,3.313704,90.5,4 hours 48 mins,288,nan,,95.0,,1 hour 5 mins,65,95.0,2 hours 15 mins,135,95.0,0.6842105263157895,,
Chalifert,77144,Seine_et_Marne,48.88812069999999,2.7725131,38.3,2 hours 7 mins,127,1 hour 44 mins,104,42.3,2.458628841607565,33 mins,33,42.3,1 hour 46 mins,106,42.3,0.7801418439716312,71.0,-2.0
Chalmaison,77650,Seine_et_Marne,48.4830914,3.251648,88.2,4 hours 44 mins,284,nan,,99.6,,1 hour 10 mins,70,99.6,2 hours 20 mins,140,99.6,0.7028112449799198,,
Chambry,77910,Seine_et_Marne,48.9965928,2.896397,48.8,2 hours 42 mins,162,nan,,62.5,,44 mins,44,62.5,1 hour 56 mins,116,62.5,0.704,,
Chamigny,77260,Seine_et_Marne,48.9734975,3.1507783,70.7,3 hours 56 mins,236,nan,,76.2,,49 mins,49,76.2,1 hour 59 mins,119,76.2,0.6430446194225722,,
Champagne-sur-Seine,77430,Seine_et_Marne,48.4087992,2.8017856,73.1,4 hours 6 mins,246,1 hour 27 mins,87,79.6,1.0929648241206031,59 mins,59,79.6,2 hours 25 mins,145,79.6,0.7412060301507538,28.0,-58.0
Champcenest,77560,Seine_et_Marne,48.6694966,3.2833315,84.6,4 hours 28 mins,268,nan,,86.6,,59 mins,59,86.6,2 hours 11 mins,131,86.6,0.6812933025404158,,
Champdeuil,77390,Seine_et_Marne,48.6215628,2.7300321,43.3,2 hours 22 mins,142,nan,,56.0,,41 mins,41,56.0,2 hours 2 mins,122,53.8,0.7321428571428571,,
Champeaux,77720,Seine_et_Marne,48.5845237,2.8063447,51.4,2 hours 47 mins,167,nan,,64.1,,47 mins,47,64.1,2 hours 6 mins,126,68.3,0.733229329173167,,
Champs-sur-Marne,77420,Seine_et_Marne,48.8480789,2.5973898,23.4,1 hour 23 mins,83,51 mins,51,27.5,1.8545454545454545,22 mins,22,27.5,1 hour 30 mins,90,27.5,0.8,29.0,-39.0
Changis-sur-Marne,77660,Seine_et_Marne,48.94574679999999,3.0285327,61.7,3 hours 25 mins,205,1 hour 38 mins,98,60.9,1.6091954022988506,39 mins,39,60.9,1 hour 51 mins,111,60.9,0.6403940886699507,59.0,-13.0
Chanteloup-en-Brie,77600,Seine_et_Marne,48.85656789999999,2.7368327,35.5,1 hour 59 mins,119,nan,,35.0,,31 mins,31,35.0,1 hour 44 mins,104,35.0,0.8857142857142857,,
Charmentray,77410,Seine_et_Marne,48.9466109,2.7773011,41.0,2 hours 16 mins,136,nan,,48.3,,36 mins,36,48.3,1 hour 49 mins,109,48.3,0.7453416149068324,,
Charny,77410,Seine_et_Marne,48.9709004,2.7611542,36.9,2 hours 1 min,121,nan,,47.6,,37 mins,37,47.6,1 hour 51 mins,111,47.6,0.7773109243697479,,
Chartrettes,77590,Seine_et_Marne,48.4883323,2.6996537,58.2,3 hours 18 mins,198,53 mins,53,67.6,0.7840236686390534,50 mins,50,67.6,2 hours 16 mins,136,67.6,0.7396449704142013,3.0,-83.0
Chartronges,77320,Seine_et_Marne,48.7453442,3.2696992,83.0,4 hours 23 mins,263,nan,,86.4,,59 mins,59,86.4,2 hours 12 mins,132,86.4,0.6828703703703703,,
Château-Landon,77570,Seine_et_Marne,48.1502934,2.7043358,97.7,5 hours 9 mins,309,nan,,103,,1 hour 8 mins,68,103,2 hours 27 mins,147,103,0.6601941747572816,,
Châteaubleau,77370,Seine_et_Marne,48.588038,3.10838,72.8,3 hours 53 mins,233,nan,,81.4,,54 mins,54,81.4,2 hours 10 mins,130,81.4,0.6633906633906633,,
Châtenay-sur-Seine,77126,Seine_et_Marne,48.4189617,3.0962364,83.8,4 hours 36 mins,276,nan,,100,,1 hour 4 mins,64,100,2 hours 24 mins,144,100,0.64,,
Châtenoy,77167,Seine_et_Marne,48.2334306,2.6253364,84.1,4 hours 26 mins,266,nan,,83.8,,59 mins,59,83.8,2 hours 22 mins,142,83.8,0.7040572792362769,,
Châtillon-la-Borde,77820,Seine_et_Marne,48.5428967,2.8091316,55.5,3 hours 3 mins,183,nan,,67.4,,45 mins,45,67.4,2 hours 12 mins,132,67.4,0.6676557863501483,,
Châtres,77610,Seine_et_Marne,48.7107988,2.8105165,46.6,2 hours 32 mins,152,nan,,49.1,,35 mins,35,49.1,1 hour 55 mins,115,49.1,0.7128309572301426,,
Chauconin-Neufmontiers,77124,Seine_et_Marne,48.9739353,2.8386253,43.2,2 hours 23 mins,143,nan,,53.0,,40 mins,40,53.0,1 hour 55 mins,115,53.0,0.7547169811320755,,
Chauffry,77169,Seine_et_Marne,48.8136084,3.182552,73.1,3 hours 59 mins,239,2 hours 16 mins,136,69.6,1.9540229885057472,56 mins,56,69.6,2 hours 12 mins,132,69.6,0.8045977011494253,80.0,4.0
Chaumes-en-Brie,77390,Seine_et_Marne,48.6660068,2.8410999,50.4,2 hours 46 mins,166,nan,,56.9,,41 mins,41,56.9,1 hour 59 mins,119,56.9,0.7205623901581723,,
Chelles,77500,Seine_et_Marne,48.8808341,2.6061805,26.0,1 hour 30 mins,90,1 hour 9 mins,69,37.8,1.8253968253968256,31 mins,31,37.8,1 hour 46 mins,106,37.8,0.8201058201058201,38.0,-37.0
Chenoise-Cucharmoy,77160,Seine_et_Marne,48.5830753,3.1944653,80.2,4 hours 12 mins,252,nan,,85.8,,58 mins,58,85.8,2 hours 12 mins,132,85.8,0.675990675990676,,
Chenou,77570,Seine_et_Marne,48.1653582,2.6588165,94.9,5 hours 0 mins,300,nan,,93.4,,1 hour 7 mins,67,93.4,2 hours 27 mins,147,93.4,0.7173447537473233,,
Chessy,77700,Seine_et_Marne,48.8784606,2.7657906,37.5,2 hours 4 mins,124,46 mins,46,38.2,1.2041884816753925,30 mins,30,38.2,1 hour 46 mins,106,38.2,0.7853403141361256,16.0,-60.0
Chevrainvilliers,77760,Seine_et_Marne,48.2447599,2.6145729,83.5,4 hours 28 mins,268,nan,,82.5,,56 mins,56,82.5,2 hours 21 mins,141,82.5,0.6787878787878788,,
Chevru,77320,Seine_et_Marne,48.7361026,3.1936103,75.9,4 hours 2 mins,242,nan,,79.8,,54 mins,54,79.8,2 hours 9 mins,129,79.8,0.6766917293233083,,
Chevry-Cossigny,77173,Seine_et_Marne,48.7187102,2.6830318,34.8,1 hour 54 mins,114,nan,,41.4,,35 mins,35,41.4,1 hour 54 mins,114,41.4,0.8454106280193237,,
Chevry-en-Sereine,77710,Seine_et_Marne,48.254344,2.9428163,92.7,5 hours 0 mins,300,nan,,103,,1 hour 8 mins,68,103,2 hours 27 mins,147,103,0.6601941747572816,,
Choisy-en-Brie,77320,Seine_et_Marne,48.7587446,3.2180224,79.2,4 hours 12 mins,252,nan,,82.7,,56 mins,56,82.7,2 hours 10 mins,130,82.7,0.6771463119709794,,
Citry,77730,Seine_et_Marne,48.9694774,3.2374637,77.9,4 hours 23 mins,263,1 hour 25 mins,85,80.5,1.0559006211180124,58 mins,58,80.5,2 hours 11 mins,131,80.5,0.7204968944099379,27.0,-46.0
Claye-Souilly,77410,Seine_et_Marne,48.9458059,2.6883074,32.2,1 hour 48 mins,108,nan,,42.6,,34 mins,34,42.6,1 hour 50 mins,110,42.6,0.7981220657276995,,
Clos-Fontaine,77370,Seine_et_Marne,48.6064275,3.0162554,65.7,3 hours 32 mins,212,nan,,72.0,,53 mins,53,72.0,2 hours 6 mins,126,72.0,0.7361111111111112,,
Cocherel,77440,Seine_et_Marne,49.0215478,3.1004978,68.6,3 hours 43 mins,223,nan,,75.3,,47 mins,47,75.3,1 hour 58 mins,118,75.3,0.6241699867197875,,
Collégien,77090,Seine_et_Marne,48.8312313,2.6720818,35.3,1 hour 59 mins,119,nan,,29.7,,26 mins,26,29.7,1 hour 36 mins,96,29.7,0.8754208754208754,,
Combs-la-Ville,77380,Seine_et_Marne,48.6661338,2.557646,30.9,1 hour 45 mins,105,44 mins,44,49.1,0.8961303462321792,38 mins,38,49.1,2 hours 7 mins,127,49.1,0.7739307535641547,6.0,-83.0
Compans,77290,Seine_et_Marne,48.9933692,2.6629003,32.7,1 hour 48 mins,108,48 mins,48,41.9,1.1455847255369929,34 mins,34,41.9,1 hour 58 mins,118,41.9,0.81145584725537,14.0,-70.0
Conches-sur-Gondoire,77600,Seine_et_Marne,48.856074,2.716303,34.1,1 hour 52 mins,112,nan,,33.3,,28 mins,28,33.3,1 hour 41 mins,101,33.3,0.8408408408408409,,
Condé-Sainte-Libiaire,77450,Seine_et_Marne,48.8978847,2.8322215,44.7,2 hours 32 mins,152,1 hour 13 mins,73,47.6,1.5336134453781511,37 mins,37,47.6,1 hour 47 mins,107,47.6,0.7773109243697479,36.0,-34.0
Congis-sur-Thérouanne,77440,Seine_et_Marne,49.0072029,2.9744928,57.2,3 hours 11 mins,191,nan,,72.2,,52 mins,52,72.2,2 hours 1 min,121,72.2,0.7202216066481995,,
Coubert,77170,Seine_et_Marne,48.6716764,2.6958513,36.6,2 hours 1 min,121,nan,,46.1,,36 mins,36,46.1,1 hour 50 mins,110,40.5,0.7809110629067245,,
Couilly-Pont-aux-Dames,77860,Seine_et_Marne,48.88405299999999,2.859853,44.9,2 hours 30 mins,150,1 hour 9 mins,69,44.8,1.5401785714285716,31 mins,31,44.8,1 hour 43 mins,103,44.8,0.6919642857142858,38.0,-34.0
Coulombs-en-Valois,77840,Seine_et_Marne,49.0923786,3.1070552,72.2,3 hours 57 mins,237,nan,,82.6,,55 mins,55,82.6,2 hours 3 mins,123,82.6,0.665859564164649,,
Coulommes,77580,Seine_et_Marne,48.8910823,2.9336463,51.9,2 hours 50 mins,170,nan,,49.2,,37 mins,37,49.2,1 hour 47 mins,107,49.2,0.7520325203252032,,
Coulommiers,77120,Seine_et_Marne,48.8129834,3.0834827,65.1,3 hours 35 mins,215,1 hour 20 mins,80,61.5,1.3008130081300813,48 mins,48,61.5,2 hours 6 mins,126,61.5,0.7804878048780488,32.0,-46.0
Coupvray,77700,Seine_et_Marne,48.8916192,2.7938841,40.2,2 hours 16 mins,136,nan,,42.9,,33 mins,33,42.9,1 hour 46 mins,106,42.9,0.7692307692307693,,
Courcelles-en-Bassée,77126,Seine_et_Marne,48.4091737,3.0549049,82.4,4 hours 32 mins,272,nan,,97.0,,1 hour 1 min,61,97.0,2 hours 23 mins,143,97.0,0.6288659793814433,,
Courchamp,77560,Seine_et_Marne,48.6351516,3.2884139,86.4,4 hours 34 mins,274,nan,,91.1,,1 hour 1 min,61,91.1,2 hours 12 mins,132,91.1,0.6695938529088914,,
Courpalay,77540,Seine_et_Marne,48.6481058,2.9600934,59.9,3 hours 16 mins,196,nan,,65.5,,45 mins,45,65.5,2 hours 2 mins,122,65.5,0.6870229007633588,,
Courquetaine,77390,Seine_et_Marne,48.6811985,2.7456931,42.0,2 hours 17 mins,137,nan,,48.9,,40 mins,40,48.9,1 hour 58 mins,118,48.9,0.8179959100204499,,
Courtacon,77560,Seine_et_Marne,48.6948684,3.2902023,86.0,4 hours 35 mins,275,nan,,84.3,,57 mins,57,84.3,2 hours 11 mins,131,84.3,0.6761565836298933,,
Courtomer,77390,Seine_et_Marne,48.6535246,2.9030852,56.0,3 hours 5 mins,185,nan,,63.2,,47 mins,47,63.2,2 hours 2 mins,122,63.2,0.7436708860759493,,
Courtry,77181,Seine_et_Marne,48.9158328,2.6131802,25.3,1 hour 28 mins,88,nan,,38.8,,29 mins,29,38.8,1 hour 43 mins,103,38.8,0.7474226804123711,,
Coutençon,77154,Seine_et_Marne,48.4709748,2.9960342,73.0,3 hours 56 mins,236,nan,,93.3,,59 mins,59,93.3,2 hours 21 mins,141,93.3,0.632368703108253,,
Coutevroult,77580,Seine_et_Marne,48.8625802,2.8557847,46.6,2 hours 35 mins,155,nan,,47.7,,34 mins,34,47.7,1 hour 46 mins,106,47.7,0.7127882599580713,,
Crécy-la-Chapelle,77580,Seine_et_Marne,48.8573402,2.9106907,50.2,2 hours 48 mins,168,1 hour 7 mins,67,47.9,1.3987473903966599,35 mins,35,47.9,1 hour 48 mins,108,47.9,0.7306889352818372,32.0,-41.0
Crégy-lès-Meaux,77124,Seine_et_Marne,48.977824,2.8729676,46.8,2 hours 34 mins,154,nan,,60.4,,41 mins,41,60.4,1 hour 54 mins,114,60.4,0.6788079470198676,,
Crèvecœur-en-Brie,77610,Seine_et_Marne,48.7543495,2.9071833,52.3,2 hours 50 mins,170,nan,,51.0,,38 mins,38,51.0,2 hours 0 mins,120,51.0,0.7450980392156863,,
Crisenoy,77390,Seine_et_Marne,48.59588129999999,2.7438549,46.5,2 hours 33 mins,153,nan,,61.3,,43 mins,43,61.3,2 hours 6 mins,126,57.1,0.701468189233279,,
Croissy-Beaubourg,77183,Seine_et_Marne,48.8132947,2.6622552,29.3,1 hour 40 mins,100,nan,,30.9,,32 mins,32,30.9,1 hour 41 mins,101,30.9,1.0355987055016183,,
Crouy-sur-Ourcq,77840,Seine_et_Marne,49.0923786,3.1070552,72.2,3 hours 57 mins,237,nan,,82.6,,55 mins,55,82.6,2 hours 3 mins,123,82.6,0.665859564164649,,
Cuisy,77165,Seine_et_Marne,49.0196364,2.772739,42.3,2 hours 20 mins,140,nan,,53.5,,45 mins,45,53.5,1 hour 59 mins,119,53.5,0.8411214953271028,,
Dagny,77320,Seine_et_Marne,48.717068,3.1703302,75.9,4 hours 3 mins,243,nan,,76.8,,50 mins,50,76.8,2 hours 6 mins,126,76.8,0.6510416666666667,,
Dammarie-les-Lys,77190,Seine_et_Marne,48.5154043,2.6348298,55.7,3 hours 15 mins,195,1 hour 15 mins,75,55.8,1.3440860215053765,45 mins,45,55.8,2 hours 17 mins,137,55.8,0.8064516129032259,30.0,-62.0
Dammartin-en-Goële,77230,Seine_et_Marne,49.0542258,2.6833465,41.9,2 hours 17 mins,137,nan,,47.3,,38 mins,38,47.3,2 hours 5 mins,125,47.3,0.8033826638477801,,
Dammartin-sur-Tigeaux,77163,Seine_et_Marne,48.8191844,2.9187588,50.4,2 hours 53 mins,173,nan,,47.5,,36 mins,36,47.5,1 hour 55 mins,115,47.5,0.7578947368421053,,
Dampmart,77400,Seine_et_Marne,48.8854721,2.7362437,35.0,1 hour 57 mins,117,2 hours 14 mins,134,44.2,3.0316742081447963,36 mins,36,44.2,1 hour 48 mins,108,44.2,0.8144796380090498,98.0,26.0
Darvault,77140,Seine_et_Marne,48.27121529999999,2.7363513,82.2,4 hours 24 mins,264,nan,,83.4,,54 mins,54,83.4,2 hours 20 mins,140,83.4,0.6474820143884892,,
Dhuisy,77440,Seine_et_Marne,49.03925419999999,3.1602806,73.6,4 hours 1 min,241,nan,,73.9,,46 mins,46,73.9,1 hour 57 mins,117,73.9,0.6224627875507442,,
Diant,77940,Seine_et_Marne,48.2816151,2.9935228,90.4,4 hours 53 mins,293,nan,,106,,1 hour 11 mins,71,106,2 hours 27 mins,147,106,0.6698113207547169,,
Donnemarie-Dontilly,77520,Seine_et_Marne,48.4777066,3.1238881,80.1,4 hours 17 mins,257,nan,,99.2,,1 hour 3 mins,63,99.2,2 hours 24 mins,144,99.2,0.6350806451612903,,
Dormelles,77130,Seine_et_Marne,48.3147519,2.9028107,87.6,5 hours 1 min,301,nan,,98.8,,1 hour 8 mins,68,98.8,2 hours 27 mins,147,98.8,0.688259109311741,,
Doue,77510,Seine_et_Marne,48.8655674,3.1637797,71.0,3 hours 48 mins,228,nan,,69.4,,51 mins,51,69.4,2 hours 6 mins,126,69.4,0.7348703170028817,,
Douy-la-Ramée,77139,Seine_et_Marne,49.0671902,2.8821799,53.5,2 hours 53 mins,173,nan,,62.2,,48 mins,48,62.2,2 hours 1 min,121,70.5,0.7717041800643086,,
Échouboulains,77830,Seine_et_Marne,48.45187,2.90197,71.0,3 hours 50 mins,230,nan,,80.4,,59 mins,59,80.4,2 hours 21 mins,141,91.2,0.7338308457711442,,
Égligny,77126,Seine_et_Marne,48.4271288,3.1214497,85.1,4 hours 38 mins,278,nan,,102,,1 hour 6 mins,66,102,2 hours 26 mins,146,102,0.6470588235294118,,
Égreville,77620,Seine_et_Marne,48.1752817,2.8722879,98.8,5 hours 13 mins,313,nan,,102,,1 hour 6 mins,66,102,2 hours 26 mins,146,102,0.6470588235294118,,
Émerainville,77184,Seine_et_Marne,48.8152872,2.6171325,24.6,1 hour 26 mins,86,53 mins,53,25.3,2.0948616600790513,25 mins,25,25.3,1 hour 35 mins,95,25.3,0.9881422924901185,28.0,-42.0
Esbly,77450,Seine_et_Marne,48.9020611,2.8130061,43.2,2 hours 26 mins,146,46 mins,46,46.2,0.9956709956709956,35 mins,35,46.2,1 hour 50 mins,110,46.2,0.7575757575757576,11.0,-64.0
Esmans,77940,Seine_et_Marne,48.34799659999999,2.9760148,81.7,4 hours 26 mins,266,nan,,98.1,,1 hour 3 mins,63,98.1,2 hours 24 mins,144,98.1,0.6422018348623854,,
Étrépilly,77139,Seine_et_Marne,49.0343544,2.9305073,54.5,2 hours 59 mins,179,nan,,68.7,,47 mins,47,68.7,1 hour 59 mins,119,68.7,0.6841339155749636,,
Everly,77157,Seine_et_Marne,48.4590399,3.2503128,90.9,4 hours 56 mins,296,nan,,100,,1 hour 10 mins,70,100,2 hours 20 mins,140,100,0.7,,
Évry-Grégy-sur-Yerre,77166,Seine_et_Marne,48.6568022,2.6350957,35.6,1 hour 58 mins,118,nan,,46.5,,34 mins,34,46.5,1 hour 45 mins,105,38.1,0.7311827956989247,,
Faremoutiers,77515,Seine_et_Marne,48.7993595,2.9972438,60.8,3 hours 15 mins,195,1 hour 25 mins,85,56.1,1.5151515151515151,43 mins,43,56.1,2 hours 6 mins,126,56.1,0.7664884135472371,42.0,-41.0
Favières,77220,Seine_et_Marne,48.7641406,2.7752871,42.7,2 hours 17 mins,137,nan,,41.7,,35 mins,35,41.7,1 hour 47 mins,107,41.7,0.8393285371702637,,
Féricy,77133,Seine_et_Marne,48.4645516,2.8023155,64.0,3 hours 30 mins,210,nan,,74.2,,54 mins,54,74.2,2 hours 20 mins,140,74.2,0.7277628032345013,,
Férolles-Attilly,77150,Seine_et_Marne,48.73417,2.633955,29.2,1 hour 37 mins,97,nan,,35.9,,30 mins,30,35.9,1 hour 53 mins,113,35.9,0.8356545961002786,,
Ferrières-en-Brie,77164,Seine_et_Marne,48.8231028,2.708062,34.0,1 hour 55 mins,115,1 hour 2 mins,62,30.6,2.026143790849673,24 mins,24,30.6,1 hour 35 mins,95,30.6,0.7843137254901961,38.0,-33.0
Flagy,77940,Seine_et_Marne,48.3125362,2.9213655,88.6,5 hours 3 mins,303,nan,,94.6,,1 hour 7 mins,67,94.6,2 hours 28 mins,148,94.6,0.7082452431289641,,
Fleury-en-Bière,77930,Seine_et_Marne,48.4513729,2.549811,55.7,3 hours 3 mins,183,nan,,57.2,,40 mins,40,57.2,2 hours 7 mins,127,57.2,0.6993006993006993,,
Fontaine-Fourches,77480,Seine_et_Marne,48.4123982,3.3947101,103,5 hours 30 mins,330,nan,,121,,1 hour 18 mins,78,121,2 hours 26 mins,146,112,0.6446280991735537,,
Fontaine-le-Port,77590,Seine_et_Marne,48.4894626,2.7326427,61.1,3 hours 29 mins,209,1 hour 25 mins,85,71.3,1.1921458625525947,52 mins,52,71.3,2 hours 16 mins,136,71.3,0.729312762973352,33.0,-51.0
Fontainebleau,77300,Seine_et_Marne,48.3872526,2.6613019,67.6,3 hours 36 mins,216,nan,,72.3,,1 hour 6 mins,66,72.3,2 hours 23 mins,143,72.3,0.9128630705394192,,
Fontains,77370,Seine_et_Marne,48.5269433,3.001984,70.3,3 hours 45 mins,225,nan,,84.2,,59 mins,59,84.2,2 hours 13 mins,133,81.4,0.7007125890736342,,
Fontenailles,77370,Seine_et_Marne,48.5534923,2.9525278,63.8,3 hours 27 mins,207,nan,,78.7,,54 mins,54,78.7,2 hours 11 mins,131,79.4,0.6861499364675985,,
Fontenay-Trésigny,77610,Seine_et_Marne,48.7070409,2.8665388,51.3,2 hours 48 mins,168,nan,,51.8,,37 mins,37,51.8,1 hour 56 mins,116,51.8,0.7142857142857143,,
Forfry,77165,Seine_et_Marne,49.0576747,2.8485304,50.7,2 hours 46 mins,166,nan,,59.3,,46 mins,46,59.3,2 hours 4 mins,124,69.9,0.7757166947723441,,
Forges,77130,Seine_et_Marne,48.419175,2.960697,77.4,4 hours 10 mins,250,nan,,85.8,,54 mins,54,85.8,2 hours 16 mins,136,85.8,0.6293706293706294,,
Fouju,77390,Seine_et_Marne,48.5856715,2.7778856,49.9,2 hours 43 mins,163,nan,,62.4,,46 mins,46,62.4,2 hours 7 mins,127,60.5,0.7371794871794872,,
Fresnes-sur-Marne,77410,Seine_et_Marne,48.9376799,2.7404898,37.0,2 hours 4 mins,124,nan,,44.2,,34 mins,34,44.2,1 hour 47 mins,107,44.2,0.7692307692307692,,
Frétoy,77320,Seine_et_Marne,48.7042061,3.2047907,78.4,4 hours 11 mins,251,nan,,78.5,,52 mins,52,78.5,2 hours 6 mins,126,78.5,0.6624203821656051,,
Fromont,77760,Seine_et_Marne,48.2553409,2.503055,78.4,4 hours 8 mins,248,nan,,81.3,,56 mins,56,81.3,2 hours 19 mins,139,81.3,0.6888068880688807,,
Fublaines,77470,Seine_et_Marne,48.93799430000001,2.9365488,53.7,2 hours 59 mins,179,nan,,56.2,,40 mins,40,56.2,1 hour 52 mins,112,56.2,0.7117437722419928,,
Garentreville,77890,Seine_et_Marne,48.2351471,2.5496086,83.7,4 hours 24 mins,264,nan,,85.3,,59 mins,59,85.3,2 hours 22 mins,142,85.3,0.6916764361078547,,
Gastins,77370,Seine_et_Marne,48.62876600000001,3.0202957,65.1,3 hours 30 mins,210,nan,,69.4,,49 mins,49,69.4,2 hours 4 mins,124,69.4,0.7060518731988472,,
Germigny-l'Évêque,77910,Seine_et_Marne,48.999816,2.9186072,51.3,2 hours 55 mins,175,nan,,68.1,,48 mins,48,68.1,1 hour 59 mins,119,68.1,0.7048458149779736,,
Germigny-sous-Coulombs,77840,Seine_et_Marne,49.0642968,3.1584407,74.6,4 hours 7 mins,247,nan,,77.0,,51 mins,51,77.0,2 hours 0 mins,120,77.0,0.6623376623376623,,
Gesvres-le-Chapitre,77165,Seine_et_Marne,49.0446328,2.8520767,49.1,2 hours 40 mins,160,nan,,59.1,,46 mins,46,59.1,2 hours 2 mins,122,68.4,0.7783417935702199,,
Giremoutiers,77120,Seine_et_Marne,48.8426711,3.029604,60.6,3 hours 18 mins,198,nan,,58.6,,43 mins,43,58.6,1 hour 57 mins,117,58.6,0.7337883959044369,,
Gironville,77890,Seine_et_Marne,48.1857947,2.52852,88.3,4 hours 40 mins,280,nan,,91.7,,1 hour 4 mins,64,91.7,2 hours 25 mins,145,91.7,0.697928026172301,,
Gouaix,77114,Seine_et_Marne,48.4799679,3.2936461,92.1,4 hours 56 mins,296,nan,,101,,1 hour 13 mins,73,101,2 hours 22 mins,142,101,0.7227722772277227,,
Gouvernes,77400,Seine_et_Marne,48.85847099999999,2.696131,32.5,1 hour 48 mins,108,nan,,32.8,,29 mins,29,32.8,1 hour 41 mins,101,32.8,0.8841463414634148,,
Gravon,77118,Seine_et_Marne,48.3997873,3.1201968,90.0,4 hours 54 mins,294,nan,,101,,1 hour 3 mins,63,101,2 hours 25 mins,145,101,0.6237623762376238,,
Gressy,77410,Seine_et_Marne,48.9651723,2.6745222,30.3,1 hour 42 mins,102,nan,,45.4,,36 mins,36,45.4,1 hour 56 mins,116,45.4,0.7929515418502203,,
Gretz-Armainvilliers,77220,Seine_et_Marne,48.74003949999999,2.7362808,38.6,2 hours 6 mins,126,52 mins,52,42.0,1.2380952380952381,31 mins,31,42.0,1 hour 50 mins,110,42.0,0.7380952380952381,21.0,-58.0
Grez-sur-Loing,77880,Seine_et_Marne,48.3029553,2.6800582,76.2,4 hours 5 mins,245,nan,,80.2,,55 mins,55,80.2,2 hours 19 mins,139,80.2,0.685785536159601,,
Grisy-Suisnes,77166,Seine_et_Marne,48.6847076,2.6685785,34.2,1 hour 52 mins,112,nan,,45.5,,35 mins,35,45.5,1 hour 46 mins,106,38.6,0.7692307692307693,,
Grisy-sur-Seine,77480,Seine_et_Marne,48.4374938,3.3173945,98.8,5 hours 16 mins,316,nan,,116,,1 hour 12 mins,72,116,2 hours 30 mins,150,116,0.6206896551724138,,
Guérard,77580,Seine_et_Marne,48.81658909999999,2.951763,54.1,3 hours 6 mins,186,1 hour 7 mins,67,53.8,1.2453531598513012,43 mins,43,53.8,1 hour 58 mins,118,53.8,0.7992565055762082,24.0,-51.0
Guercheville,77760,Seine_et_Marne,48.2614505,2.5580292,80.5,4 hours 12 mins,252,nan,,79.8,,54 mins,54,79.8,2 hours 20 mins,140,79.8,0.6766917293233083,,
Guermantes,77600,Seine_et_Marne,48.8524022,2.709093,33.8,1 hour 51 mins,111,nan,,32.5,,27 mins,27,32.5,1 hour 38 mins,98,32.5,0.8307692307692308,,
Guignes,77390,Seine_et_Marne,48.637253,2.79722,46.2,2 hours 34 mins,154,nan,,60.1,,42 mins,42,60.1,2 hours 1 min,121,60.1,0.6988352745424292,,
