Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Breux-Jouy,91650,Essonne,48.5564764,2.1612219,43.9,2 hours 35 mins,155,1 hour 27 mins,87,45.0,1.9333333333333333,40 mins,40,45.0,1 hour 56 mins,116,45.0,0.8888888888888888,47.0,-29.0
Brières-les-Scellés,91150,Essonne,48.4575734,2.1390926,56.1,3 hours 13 mins,193,nan,,54.6,,44 mins,44,54.6,1 hour 59 mins,119,54.6,0.8058608058608059,,
Briis-sous-Forges,91640,Essonne,48.6240554,2.1234974,40.7,2 hours 22 mins,142,nan,,43.6,,39 mins,39,43.6,1 hour 49 mins,109,43.6,0.8944954128440367,,
Brouy,91150,Essonne,48.3165884,2.2793674,75.5,4 hours 0 mins,240,nan,,71.0,,57 mins,57,71.0,2 hours 10 mins,130,71.0,0.8028169014084507,,
Brunoy,91800,Essonne,48.69819039999999,2.5045178,25.6,1 hour 28 mins,88,38 mins,38,26.1,1.4559386973180075,31 mins,31,26.1,1 hour 37 mins,97,26.1,1.1877394636015326,7.0,-59.0
Bruyères-le-Châtel,91680,Essonne,48.6028846,2.1849368,38.1,2 hours 13 mins,133,nan,,42.2,,45 mins,45,42.2,1 hour 59 mins,119,42.2,1.066350710900474,,
Buno-Bonnevaux,91720,Essonne,48.3604472,2.3880117,67.1,3 hours 38 mins,218,1 hour 28 mins,88,70.8,1.2429378531073447,51 mins,51,70.8,2 hours 18 mins,138,70.8,0.7203389830508475,37.0,-50.0
Bures-sur-Yvette,91440,Essonne,48.6915819,2.155157,30.2,1 hour 50 mins,110,54 mins,54,33.9,1.592920353982301,31 mins,31,33.9,1 hour 29 mins,89,33.9,0.9144542772861357,23.0,-35.0
Cerny,91590,Essonne,48.4752742,2.3287019,55.3,2 hours 59 mins,179,nan,,56.2,,49 mins,49,56.2,2 hours 20 mins,140,56.2,0.8718861209964412,,
Chalo-Saint-Mars,91780,Essonne,48.4265917,2.0671487,62.9,3 hours 35 mins,215,nan,,62.2,,51 mins,51,62.2,2 hours 5 mins,125,62.2,0.8199356913183279,,
Chalou-Moulineux,91740,Essonne,48.3837224,2.0225521,69.5,3 hours 56 mins,236,nan,,69.4,,54 mins,54,69.4,2 hours 5 mins,125,69.4,0.7780979827089336,,
